*     : Nicht, n't
IN    : Präposition
,     : Komma
JJ    : Adjektiv
--    : Gedankenstrich
JJR   : vergleichendes Adjektiv
.     : Satzabschluss
JJS   : semantisch superlatives Adjektiv
:     : Doppelpunkt
JJT   : morphologisch superlatives Adjektiv
(     : Linke Klammer
MD    : modales Hilfsverb
)     : Rechte Klammer
NC    : zitiertes Wort (nach regulärem Tag mit Bindestrich)
ABL   : Vorqualifikator
NN    : Singular oder Masse-Nomen
ABN   : Vorquantifikator
NN\$  : besitzanzeigendes Singular-Nomen
ABX   : Vorquantifikator
NNS   : Plural-Nomen
AP    : Nachbestimmer
NNS\$ : besitzanzeigendes Plural-Nomen
AT    : Artikel
NP    : Eigenname oder Teil eines Namenphrase
BE    : sein
NP\$  : besitzanzeigender Eigenname
BED   : waren
NPS   : Plural-Eigenname
BEDZ  : war
NPS\$ : besitzanzeigendes Plural-Eigenname
BEG   : sein (Partizip Präsens)
NR    : adverbiales Nomen
BEM   : bin
NRS   : Plural-adverbiales Nomen
BEN   : gewesen
OD    : Ordnungszahl
BER   : sind, Kunst
PN    : Nominales Pronomen
BEZ   : ist
PN\$  : besitzanzeigendes Nominalpronomen
CC    : koordinierende Konjunktion
PP\$  : besitzanzeigendes Personalpronomen
CD    : Kardinalzahl
PP\$\$: zweites (nominales) besitzanzeigendes Pronomen
CS    : untergeordnete Konjunktion
PPL   : Singular reflexives/intensives Personalpronomen
DO    : tun
PPLS  : Plural reflexives/intensives Personalpronomen
DOD   : tat
PPO   : objektives Personalpronomen
DOZ   : tut
PPS   : 3. Singular nominatives Pronomen
DT    : Singularbestimmer
PPSS  : anderes nominatives Personalpronomen
DTI   : Singular- oder Pluralbestimmer/Quantifikator
QL    : Qualifikator
DTS   : Pluralbestimmer
QLP   : Nachqualifikator
DTX   : Bestimmer/doppelte Konjunktion
RB    : Adverb
EX    : existentielles there
RBR   : vergleichendes Adverb
FW    : Fremdwort (vor regulärem Tag mit Bindestrich)
RBT   : superlatives Adverb
HL    : Wort in Überschrift (nach regulärem Tag mit Bindestrich)
RN    : nominales Adverb
HV    : haben
RP    : Adverb/Partikel
HVD   : hatte (Vergangenheit)
TL    : Wort in Titel (nach regulärem Tag mit Bindestrich)
HVG   : haben (Partizip Präsens)
TO    : Infinitivmarker to
HVN   : gehabt (Partizip Perfekt)
UH    : Interjektion, Ausruf
HVZ   : hat
VB    : Verb, Grundform
VBD   : Verb, Vergangenheit
VBG   : Verb, Partizip Präsens/Gerundium
VBN   : Verb, Partizip Perfekt
VBZ   : Verb, 3. Singular Präsens
WDT   : wh- Bestimmer
WP\$  : besitzanzeigendes wh- Pronomen
WPO   : objektives wh- Pronomen
WPS   : nominatives wh- Pronomen
WQL   : wh- Qualifikator
WRB   : wh- Adverb
